000b;Image.ProcessingSoftware
00fe;Image.NewSubfileType
00ff;Image.SubfileType
0100;Image.ImageWidth
0101;Image.ImageLength
0102;Image.BitsPerSample
0103;Image.Compression
0106;Image.PhotometricInterpretation
0107;Image.Thresholding
0108;Image.CellWidth
0109;Image.CellLength
010a;Image.FillOrder
010d;Image.DocumentName
010e;Image.ImageDescription
010f;Image.Make
0110;Image.Model
0111;Image.StripOffsets
0112;Image.Orientation
0115;Image.SamplesPerPixel
0116;Image.RowsPerStrip
0117;Image.StripByteCounts
011a;Image.XResolution
011b;Image.YResolution
011c;Image.PlanarConfiguration
011d;Image.PageName
011e;Image.XPosition
011f;Image.YPosition
0122;Image.GrayResponseUnit
0123;Image.GrayResponseCurve
0124;Image.T4Options
0125;Image.T6Options
0128;Image.ResolutionUnit
0129;Image.PageNumber
012d;Image.TransferFunction
0131;Image.Software
0132;Image.DateTime
013b;Image.Artist
013c;Image.HostComputer
013d;Image.Predictor
013e;Image.WhitePoint
013f;Image.PrimaryChromaticities
0140;Image.ColorMap
0141;Image.HalftoneHints
0142;Image.TileWidth
0143;Image.TileLength
0144;Image.TileOffsets
0145;Image.TileByteCounts
014a;Image.SubIFDs
014c;Image.InkSet
014d;Image.InkNames
014e;Image.NumberOfInks
0150;Image.DotRange	Byte
0151;Image.TargetPrinter
0152;Image.ExtraSamples
0153;Image.SampleFormat
0154;Image.SMinSampleValue
0155;Image.SMaxSampleValue
0156;Image.TransferRange
0157;Image.ClipPath	Byte
0158;Image.XClipPathUnits
0159;Image.YClipPathUnits
015a;Image.Indexed
015b;Image.JPEGTables
015f;Image.OPIProxy
0200;Image.JPEGProc
0201;Image.JPEGInterchangeFormat
0202;Image.JPEGInterchangeFormatLength
0203;Image.JPEGRestartInterval
0205;Image.JPEGLosslessPredictors
0206;Image.JPEGPointTransforms
0207;Image.JPEGQTables
0208;Image.JPEGDCTables
0209;Image.JPEGACTables
0211;Image.YCbCrCoefficients
0212;Image.YCbCrSubSampling
0213;Image.YCbCrPositioning
0214;Image.ReferenceBlackWhite
02bc;Image.XMLPacket
4746;Image.Rating
4749;Image.RatingPercent
7032;Image.VignettingCorrParams
7035;Image.ChromaticAberrationCorrParams
7037;Image.DistortionCorrParams
800d;Image.ImageID
828d;Image.CFARepeatPatternDim
828e;Image.CFAPattern
828f;Image.BatteryLevel
8298;Image.Copyright
829a;Image.ExposureTime
829d;Image.FNumber
83bb;Image.IPTCNAA
8649;Image.ImageResources
8769;Image.ExifTag
8773;Image.InterColorProfile
8822;Image.ExposureProgram
8824;Image.SpectralSensitivity
8825;Image.GPSTag
8827;Image.ISOSpeedRatings
8828;Image.OECF
8829;Image.Interlace
882a;Image.TimeZoneOffset
882b;Image.SelfTimerMode
9003;Image.DateTimeOriginal
9102;Image.CompressedBitsPerPixel
9201;Image.ShutterSpeedValue
9202;Image.ApertureValue
9203;Image.BrightnessValue
9204;Image.ExposureBiasValue
9205;Image.MaxApertureValue
9206;Image.SubjectDistance
9207;Image.MeteringMode
9208;Image.LightSource
9209;Image.Flash
920a;Image.FocalLength
920b;Image.FlashEnergy
920c;Image.SpatialFrequencyResponse
920d;Image.Noise
920e;Image.FocalPlaneXResolution
920f;Image.FocalPlaneYResolution
9210;Image.FocalPlaneResolutionUnit
9211;Image.ImageNumber
9212;Image.SecurityClassification
9213;Image.ImageHistory
9214;Image.SubjectLocation
9215;Image.ExposureIndex
9216;Image.TIFFEPStandardID
9217;Image.SensingMethod
9c9b;Image.XPTitle
9c9c;Image.XPComment
9c9d;Image.XPAuthor
9c9e;Image.XPKeywords
9c9f;Image.XPSubject
c4a5;Image.PrintImageMatching
c612;Image.DNGVersion
c613;Image.DNGBackwardVersion
c614;Image.UniqueCameraModel
c615;Image.LocalizedCameraModel
c616;Image.CFAPlaneColor
c617;Image.CFALayout
c618;Image.LinearizationTable
c619;Image.BlackLevelRepeatDim
c61a;Image.BlackLevel
c61b;Image.BlackLevelDeltaH
c61c;Image.BlackLevelDeltaV
c61d;Image.WhiteLevel
c61e;Image.DefaultScale
c61f;Image.DefaultCropOrigin
c620;Image.DefaultCropSize
c621;Image.ColorMatrix1
c622;Image.ColorMatrix2
c623;Image.CameraCalibration1
c624;Image.CameraCalibration2
c625;Image.ReductionMatrix1
c626;Image.ReductionMatrix2
c627;Image.AnalogBalance
c628;Image.AsShotNeutral
c629;Image.AsShotWhiteXY
c62a;Image.BaselineExposure
c62b;Image.BaselineNoise
c62c;Image.BaselineSharpness
c62d;Image.BayerGreenSplit
c62e;Image.LinearResponseLimit
c62f;Image.CameraSerialNumber
c630;Image.LensInfo
c631;Image.ChromaBlurRadius
c632;Image.AntiAliasStrength
c633;Image.ShadowScale
c634;Image.DNGPrivateData
c635;Image.MakerNoteSafety
c65a;Image.CalibrationIlluminant1
c65b;Image.CalibrationIlluminant2
c65c;Image.BestQualityScale
c65d;Image.RawDataUniqueID
c68b;Image.OriginalRawFileName
c68c;Image.OriginalRawFileData
c68d;Image.ActiveArea
c68e;Image.MaskedAreas
c68f;Image.AsShotICCProfile
c690;Image.AsShotPreProfileMatrix
c691;Image.CurrentICCProfile
c692;Image.CurrentPreProfileMatrix
c6bf;Image.ColorimetricReference
c6f3;Image.CameraCalibrationSignature
c6f4;Image.ProfileCalibrationSignature
c6f5;Image.ExtraCameraProfiles
c6f6;Image.AsShotProfileName
c6f7;Image.NoiseReductionApplied
c6f8;Image.ProfileName
c6f9;Image.ProfileHueSatMapDims
c6fa;Image.ProfileHueSatMapData1
c6fb;Image.ProfileHueSatMapData2
c6fc;Image.ProfileToneCurve
c6fd;Image.ProfileEmbedPolicy
c6fe;Image.ProfileCopyright
c714;Image.ForwardMatrix1
c715;Image.ForwardMatrix2
c716;Image.PreviewApplicationName
c717;Image.PreviewApplicationVersion
c718;Image.PreviewSettingsName
c719;Image.PreviewSettingsDigest
c71a;Image.PreviewColorSpace
c71b;Image.PreviewDateTime
c71c;Image.RawImageDigest
c71d;Image.OriginalRawFileDigest
c71e;Image.SubTileBlockSize
c71f;Image.RowInterleaveFactor
c725;Image.ProfileLookTableDims
c726;Image.ProfileLookTableData
c740;Image.OpcodeList1
c741;Image.OpcodeList2
c74e;Image.OpcodeList3
c761;Image.NoiseProfile
c763;Image.TimeCodes
c764;Image.FrameRate
c772;Image.TStop
c789;Image.ReelName
c7a1;Image.CameraLabel
c791;Image.OriginalDefaultFinalSize
c792;Image.OriginalBestQualityFinalSize
c793;Image.OriginalDefaultCropSize
c7a3;Image.ProfileHueSatMapEncoding
c7a4;Image.ProfileLookTableEncoding
c7a5;Image.BaselineExposureOffset
c7a6;Image.DefaultBlackRender
c7a7;Image.NewRawImageDigest
c7a8;Image.RawToPreviewGain
c7b5;Image.DefaultUserCrop
c7e9;Image.DepthFormat
c7ea;Image.DepthNear
c7eb;Image.DepthFar
c7ec;Image.DepthUnits
c7ed;Image.DepthMeasureType
c7ee;Image.EnhanceParams
cd2d;Image.ProfileGainTableMap
cd2e;Image.SemanticName
cd30;Image.SemanticInstanceID
cd31;Image.CalibrationIlluminant3
cd32;Image.CameraCalibration3
cd33;Image.ColorMatrix3
cd34;Image.ForwardMatrix3
cd35;Image.IlluminantData1
cd36;Image.IlluminantData2
cd37;Image.IlluminantData3
cd38;Image.MaskSubArea
cd39;Image.ProfileHueSatMapData3
cd3a;Image.ReductionMatrix3
cd3b;Image.RGBTables
cd40;Image.ProfileGainTableMap2
cd43;Image.ColumnInterleaveFactor
cd44;Image.ImageSequenceInfo
cd46;Image.ImageStats
cd47;Image.ProfileDynamicRange
cd48;Image.ProfileGroupName
cd49;Image.JXLDistance
cd4a;Image.JXLEffort
cd4b;Image.JXLDecodeSpeed
829a;Photo.ExposureTime
829d;Photo.FNumber
8822;Photo.ExposureProgram
8824;Photo.SpectralSensitivity
8827;Photo.ISOSpeedRatings
8828;Photo.OECF
8830;Photo.SensitivityType
8831;Photo.StandardOutputSensitivity
8832;Photo.RecommendedExposureIndex
8833;Photo.ISOSpeed
8834;Photo.ISOSpeedLatitudeyyy
8835;Photo.ISOSpeedLatitudezzz
9000;Photo.ExifVersion
9003;Photo.DateTimeOriginal
9004;Photo.DateTimeDigitized
9010;Photo.OffsetTime
9011;Photo.OffsetTimeOriginal
9012;Photo.OffsetTimeDigitized
9101;Photo.ComponentsConfiguration
9102;Photo.CompressedBitsPerPixel
9201;Photo.ShutterSpeedValue
9202;Photo.ApertureValue
9203;Photo.BrightnessValue
9204;Photo.ExposureBiasValue
9205;Photo.MaxApertureValue
9206;Photo.SubjectDistance
9207;Photo.MeteringMode
9208;Photo.LightSource
9209;Photo.Flash
920a;Photo.FocalLength
9214;Photo.SubjectArea
927c;Photo.MakerNote
9286;Photo.UserComment
9290;Photo.SubSecTime
9291;Photo.SubSecTimeOriginal
9292;Photo.SubSecTimeDigitized
9400;Photo.Temperature
9401;Photo.Humidity
9402;Photo.Pressure
9403;Photo.WaterDepth
